param_model__l2_regularization,param_model__learning_rate,param_model__max_depth,param_model__max_iter,param_model__min_samples_leaf,mean_test_mae,std_test_mae,rank_test_score
0.0,0.07,6,200,50,298.5426897504446,36.507717864190504,59
0.0,0.07,7,150,50,298.56841207665866,36.53399183611271,60
0.3,0.03,5,300,70,298.6157424010821,32.3836655420287,61
0.0,0.03,5,300,70,298.6284799119865,32.81997983044659,62
0.0,0.05,5,150,70,298.6951940602509,31.850880301109136,63
0.0,0.07,5,200,50,298.7070064414608,35.56095761080663,64
0.0,0.05,6,300,50,298.75052956697516,36.92402219681635,65
0.3,0.07,5,300,50,298.7583472126467,36.282734533571,66
0.3,0.05,6,300,50,298.79216270621686,37.325100652097746,67
0.3,0.05,5,150,70,298.9653878532634,31.642048801106217,68
0.0,0.05,7,300,50,298.9909791237696,39.584709665319004,69
0.0,0.07,5,150,70,299.0121654612805,32.35836579919011,70
0.1,0.03,6,200,70,299.0796574520232,33.198087947371526,71
0.1,0.05,5,300,50,299.0938285029848,37.05048092620886,72
0.3,0.05,7,300,50,299.13868622740256,39.39195252802317,73
0.3,0.05,5,300,50,299.15764858209457,37.23553226265894,74
0.3,0.03,6,200,70,299.20812783991744,33.27162869222199,75
0.0,0.05,5,200,70,299.2371531801488,33.36310385554595,76
0.1,0.05,5,150,70,299.2521807864814,32.47290721923736,77
0.3,0.03,5,200,70,299.2694438286287,31.8229745226665,78
0.1,0.03,5,300,70,299.3446651084675,32.54103073133692,79
0.0,0.03,5,200,70,299.34960315417027,32.1726934845031,80
0.3,0.05,5,200,70,299.5273218266783,32.992222099189064,81
0.0,0.05,6,150,70,299.5563770925096,34.660941442382445,82
0.3,0.03,6,300,70,299.576470203245,34.40051380019975,83
0.1,0.05,7,300,50,299.58973771636363,38.94682921963219,84
0.1,0.05,7,150,70,299.6606357886896,34.31469154204011,85
0.3,0.07,6,200,50,299.6744375627312,38.91659482256067,86
0.1,0.07,7,200,50,299.7722659590363,39.84993357075151,87
0.1,0.05,5,200,70,299.81151326951044,33.319365282391615,88
0.1,0.05,7,200,70,299.863794970045,35.38545571049798,89
0.3,0.07,7,200,50,299.8766141135422,36.90726160121852,90
0.3,0.07,5,200,70,299.99396986935255,33.65505810595395,91
0.3,0.07,5,150,70,299.99791745694745,32.61113224236772,92
0.1,0.03,6,150,70,300.03064305810614,32.98281028329808,93
0.3,0.03,5,150,70,300.04395939272973,32.5897641945726,94
0.0,0.03,5,150,70,300.1652607091526,32.54421731307037,95
0.1,0.05,6,150,70,300.1909909295809,34.016701879979706,96
0.1,0.03,6,300,70,300.1990056459435,33.87773101748083,97
0.1,0.03,5,200,70,300.21816694745024,32.28402896579987,98
0.3,0.03,6,150,70,300.25738273495915,33.250993594232334,99
0.0,0.03,6,200,70,300.3274200330378,34.05447173425396,100
0.0,0.07,7,200,50,300.3698241731546,38.37529419637812,101
0.0,0.03,7,200,70,300.39571738338066,34.64341842167379,102
0.0,0.05,6,200,70,300.4374473990951,35.510482153161824,103
0.1,0.07,5,150,70,300.4488095754431,31.454930232359253,104
0.3,0.07,6,150,70,300.4652820014544,33.68980091375561,105
0.3,0.05,7,150,70,300.48506880499434,33.688299142032555,106
0.0,0.03,6,300,70,300.5275693086107,34.54147539259252,107
0.0,0.03,7,150,30,300.54084924367083,55.30468028163094,108
0.0,0.05,5,300,70,300.5527387671703,34.66933820662096,109
0.0,0.03,6,150,30,300.56224129900545,54.985848743024086,110
0.1,0.03,7,150,30,300.6159629452467,55.85639722643329,111
0.1,0.03,5,150,70,300.62567845455385,32.75478479211969,112
0.3,0.05,6,150,70,300.6557595564119,35.405025718543385,113
0.0,0.07,6,150,70,300.7175327112267,34.469887683155655,114
0.0,0.05,7,150,70,300.8984841556328,36.2344131751982,115
0.0,0.07,6,200,70,300.9227400777757,35.243639275096996,116
0.0,0.03,7,300,70,300.928823216155,36.17551495771834,117
0.3,0.03,6,150,30,301.0161990248024,55.940263374574904,118
0.3,0.03,7,200,70,301.0711907945403,34.927597868781746,119
0.0,0.03,7,150,70,301.0800534856722,34.784835212910096,120
0.0,0.03,6,150,70,301.15261508900295,33.571449260375786,121
0.0,0.07,6,300,50,301.16656486188805,38.86107916032486,122
0.3,0.05,7,200,70,301.1977552461964,34.22827703475922,123
0.3,0.03,7,150,70,301.19989726699293,34.535401493624185,124
0.3,0.05,5,300,70,301.2074635596026,34.53783648026501,125
0.0,0.03,5,150,30,301.21940757478785,50.681951859827564,126
0.1,0.03,5,150,30,301.24314281418947,51.899302409294215,127
0.3,0.03,7,150,30,301.2823086793022,56.875421323954015,128
0.0,0.07,5,200,70,301.3003849768601,34.108358346507366,129
0.1,0.05,6,200,70,301.3026680883295,35.28530430889592,130
0.1,0.05,5,300,70,301.3294191066376,35.47282740497401,131
0.1,0.03,7,200,70,301.3388281196653,35.19582952105513,132
0.0,0.05,7,200,70,301.3883515542643,37.02720966886603,133
0.1,0.03,7,150,70,301.40903393221856,35.06189050791358,134
0.3,0.07,6,200,70,301.44448985953653,34.60333366375001,135
0.0,0.07,7,150,70,301.50027183598985,37.48353482084305,136
0.3,0.05,6,200,70,301.5435461415578,36.131812484997866,137
0.3,0.03,7,300,70,301.5785298998623,35.3135378493334,138
0.1,0.03,7,300,70,301.607057634739,36.00564845558873,139
0.1,0.07,6,300,50,301.7048413635817,41.11412429795048,140
0.3,0.07,7,150,70,301.72614707409673,35.812118462618415,141
0.3,0.07,5,300,70,301.7629106911554,34.063713243725616,142
0.1,0.07,5,300,50,301.83369434204394,37.63186929118677,143
0.3,0.03,5,150,30,301.955830669854,52.197835381749385,144
0.1,0.03,6,150,30,301.9949197074655,56.86587476137102,145
