date,year,month,ppi_value,series_id,industry,product,source,country_code,base_year
1987-04-01,1987,4,239022.8,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-05-01,1987,5,239022.8,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-06-01,1987,6,239022.8,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-07-01,1987,7,239157.8,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-08-01,1987,8,239157.8,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-09-01,1987,9,239157.8,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-10-01,1987,10,239157.8,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-11-01,1987,11,239262.1,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1987-12-01,1987,12,239262.1,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1988-01-01,1988,1,237536.0,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1988-02-01,1988,2,237536.0,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1988-03-01,1988,3,209519.4,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1988-04-01,1988,4,209519.4,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1988-05-01,1988,5,209519.4,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1988-06-01,1988,6,209519.4,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1988-07-01,1988,7,209519.4,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1988-08-01,1988,8,239691.6,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
1988-09-01,1988,9,239691.6,PCU33441333441312,Semiconductor and related device manufacturing,Microprocessors including microcontrollers,BLS,USA,2007
