date,year,month,ppi_value,series_id,industry,product,source,country_code,base_year
1982-07-01,1982,7,223.9,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1982-08-01,1982,8,223.2,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1982-09-01,1982,9,223.1,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1982-10-01,1982,10,221.5,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1982-11-01,1982,11,220.8,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1982-12-01,1982,12,219.6,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-01-01,1983,1,217.6,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-02-01,1983,2,218.1,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-03-01,1983,3,217.8,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-04-01,1983,4,232.6,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-05-01,1983,5,232.1,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-06-01,1983,6,238.3,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-07-01,1983,7,238.3,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-08-01,1983,8,239.0,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-09-01,1983,9,242.2,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-10-01,1983,10,244.4,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-11-01,1983,11,241.0,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1983-12-01,1983,12,244.9,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-01-01,1984,1,247.7,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-02-01,1984,2,242.4,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-03-01,1984,3,247.1,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-04-01,1984,4,243.4,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-05-01,1984,5,242.9,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-06-01,1984,6,243.4,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-07-01,1984,7,244.0,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-08-01,1984,8,243.2,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-09-01,1984,9,243.8,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-10-01,1984,10,244.3,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-11-01,1984,11,243.0,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1984-12-01,1984,12,239.6,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-01-01,1985,1,238.9,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-02-01,1985,2,237.2,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-03-01,1985,3,232.2,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-04-01,1985,4,229.4,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-05-01,1985,5,226.8,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-06-01,1985,6,220.3,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-07-01,1985,7,219.8,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-08-01,1985,8,220.2,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-09-01,1985,9,216.9,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-10-01,1985,10,216.2,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-11-01,1985,11,216.6,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1985-12-01,1985,12,215.3,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1986-01-01,1986,1,221.2,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1986-02-01,1986,2,222.4,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1986-03-01,1986,3,223.2,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
1986-04-01,1986,4,226.5,PCU3344133344131,Semiconductor and related device manufacturing,Integrated circuit packages,BLS,USA,1998
